Date,Volume,Price
2016-01-06,314.0,8.17
2016-01-07,769.0,7.9
2016-01-08,647.0,7.75
2016-01-11,468.0,7.545
2016-01-12,1224.0,7.365
2016-01-13,320.0,7.525
2016-01-14,1056.0,7.359999999999999
2016-01-15,653.0,7.125
2016-01-18,526.0,6.92
2016-01-19,510.0,7.13
2016-01-20,2646.0,6.73
2016-01-21,1208.0,6.48
2016-01-22,304.0,6.62
2016-01-25,662.0,6.265000000000001
2016-01-26,864.0,6.1
2016-01-27,1595.0,6.165
2016-01-28,1177.0,6.255
2016-01-29,4655.0,6.255
2016-02-01,944.0,6.050000000000001
2016-02-02,3688.0,5.9
2016-02-03,415.0,5.904999999999999
2016-02-04,1196.0,5.83
2016-02-05,1772.0,5.699999999999999
2016-02-08,1961.0,5.455
2016-02-09,1682.0,5.234999999999999
2016-02-10,1171.0,5.01
2016-02-11,365.0,4.904999999999999
2016-02-12,3081.0,5.08
2016-02-15,282.0,4.995
2016-02-16,696.0,4.93
2016-02-17,477.0,5.045
2016-02-18,417.0,5.375
2016-02-19,1124.0,5.335
2016-02-22,406.0,5.4399999999999995
2016-02-23,782.0,5.26
2016-02-24,198.0,5.015000000000001
2016-02-25,353.0,5.055
2016-02-26,452.0,5.195
2016-02-29,377.0,5.08
2016-03-01,240.0,5.105
2016-03-02,774.0,5.05
2016-03-03,694.0,4.994999999999999
2016-03-04,1346.0,5.02
2016-03-07,91.0,5.17
2016-03-08,351.0,5.205
2016-03-09,60.0,5.18
2016-03-10,268.0,5.07
2016-03-11,148.0,5.095000000000001
2016-03-14,93.0,5.015000000000001
2016-03-15,0.0,4.97
2016-03-16,261.0,5.075
2016-03-17,1639.0,5.08
2016-03-18,198.0,5.0600000000000005
2016-03-21,136.0,4.995
2016-03-22,692.0,4.9399999999999995
2016-03-23,269.0,4.895
2016-03-24,9.0,4.915
2016-03-29,88.0,4.895
2016-03-30,373.0,4.984999999999999
2016-03-31,758.0,5.17
2016-04-01,3602.0,5.32
2016-04-04,805.0,5.3100000000000005
2016-04-05,901.0,5.385
2016-04-06,1508.0,5.390000000000001
2016-04-07,431.0,5.395
2016-04-08,240.0,5.445
2016-04-11,409.0,5.595
2016-04-12,346.0,5.715
2016-04-13,449.0,5.665
