Bonds,,Date,XS0204395213,XS1084568762,XS1167308128,XS1048518358,XS0431928760
,,2/20/2020,NA,101.024,105.365,NA,NA
,,2/21/2020,NA,101.013,105.345,NA,NA
,,2/24/2020,NA,101.011,105.29,NA,NA
,,2/25/2020,NA,100.996,105.322,NA,NA
,,2/26/2020,NA,100.99,105.282,NA,NA
,,2/27/2020,NA,100.972,105.133,NA,NA
,,2/28/2020,NA,100.975,105.182,NA,NA
,,3/2/2020,NA,100.956,105.182,NA,NA
,,3/3/2020,NA,100.949,105.044,NA,NA
,,3/4/2020,NA,100.925,104.956,NA,NA
,,3/5/2020,NA,100.891,104.975,NA,NA
,,3/6/2020,NA,100.892,104.688,NA,NA
,,3/9/2020,NA,100.892,104.385,NA,NA
,,3/10/2020,NA,100.892,104.088,NA,NA
,,3/11/2020,NA,100.753,103.838,NA,NA
,,3/12/2020,NA,100.753,103.207,NA,NA
,,3/13/2020,NA,100.753,103.007,NA,NA
,,3/16/2020,NA,100.753,102.605,NA,NA
,,3/17/2020,NA,100.559,102.041,NA,NA
,,3/18/2020,NA,100.373,101.284,NA,NA
,,3/19/2020,NA,100.283,100.476,NA,NA
,,3/20/2020,NA,100.27,100.37,NA,NA
,,3/23/2020,NA,100.256,96.81,NA,NA
,,3/24/2020,NA,100.219,99.924,NA,NA
,,3/25/2020,NA,100.195,99.753,NA,NA
,,3/26/2020,NA,100.19,99.644,NA,NA
,,3/27/2020,NA,99.999,96.75,NA,NA
,,3/30/2020,NA,100.058,96.27,NA,NA
,,3/31/2020,NA,100.04,96.87,NA,NA
,,4/1/2020,NA,100.049,96.25,NA,NA
,,4/2/2020,NA,99.961,96.25,NA,NA
,,4/3/2020,NA,100.034,96.6,NA,NA
,,4/6/2020,NA,99.926,95.97,NA,NA
,,4/7/2020,NA,99.956,96.6,NA,NA
,,4/8/2020,NA,100.019,95.21,NA,NA
,,4/9/2020,NA,99.987,96.82,NA,NA
,,4/10/2020,NA,99.987,96.82,NA,NA
,,4/13/2020,NA,99.987,96.82,NA,NA
,,4/14/2020,NA,99.985,99.358,NA,NA
,,4/15/2020,NA,100.066,96.22,NA,NA
,,4/16/2020,NA,100.028,97.25,NA,NA
,,4/17/2020,NA,99.997,95.82,NA,NA
,,4/20/2020,NA,99.922,97.411,NA,NA
,,4/21/2020,NA,99.834,97.85,NA,NA
,,4/22/2020,NA,99.929,98.36,NA,NA
,,4/23/2020,NA,99.943,96.531,NA,NA
,,4/24/2020,NA,99.936,99.357,NA,NA
,,4/27/2020,NA,99.979,99.456,NA,NA
,,4/28/2020,NA,100.025,99.904,NA,NA
,,4/29/2020,NA,99.953,99.849,NA,NA
,,4/30/2020,NA,99.989,99.94,NA,NA
,,5/1/2020,NA,99.994,99.899,NA,NA
,,5/4/2020,NA,99.959,99.269,NA,NA
,,5/5/2020,NA,100.005,99.38,NA,NA
,,5/6/2020,NA,100.03,99.064,NA,NA
,,5/7/2020,NA,99.947,97.727,NA,NA
,,5/8/2020,NA,99.937,98.455,NA,NA
,,5/11/2020,NA,99.958,99.108,NA,NA
,,5/12/2020,NA,100.012,99.396,NA,NA
,,5/13/2020,NA,99.967,99.486,NA,NA
,,5/14/2020,NA,99.992,99.383,NA,NA
,,5/15/2020,NA,99.895,99.419,NA,NA
,,5/18/2020,NA,99.986,99.479,NA,NA
,,5/19/2020,NA,100.019,99.785,NA,NA
,,5/20/2020,NA,100.024,100.15,NA,NA
,,5/21/2020,NA,100.044,100.384,NA,NA
,,5/22/2020,NA,100.039,100.545,NA,NA
,,5/25/2020,NA,99.996,99.236,NA,NA
,,5/26/2020,NA,100.041,100.793,NA,NA
,,5/27/2020,NA,100.043,101.067,NA,NA
,,5/28/2020,NA,100.053,100.351,NA,NA
,,5/29/2020,NA,100.001,100.608,NA,NA
,,6/1/2020,NA,100.017,101.237,NA,NA
,,6/2/2020,NA,100.032,100.367,NA,NA
,,6/3/2020,NA,100.032,101.063,NA,NA
,,6/4/2020,NA,100.071,101.063,NA,NA
,,6/5/2020,NA,100.098,101.542,NA,NA
,,6/8/2020,NA,100.085,101.657,NA,NA
,,6/9/2020,NA,100.058,101.32,NA,NA
,,6/10/2020,NA,100.058,101.353,NA,NA
,,6/11/2020,NA,100.077,101.343,NA,NA
,,6/12/2020,NA,100.061,101.119,NA,NA
,,6/15/2020,NA,100.025,101.147,NA,NA
,,6/16/2020,NA,100.066,101.472,NA,NA
,,6/17/2020,NA,100.089,101.606,NA,NA
,,6/18/2020,NA,100.018,101.533,NA,NA
,,6/19/2020,NA,100.008,101.55,NA,NA
,,6/22/2020,NA,99.994,101.566,NA,NA
,,6/23/2020,NA,100.02,101.547,NA,NA
,,6/24/2020,NA,100.01,101.538,NA,NA
,,6/25/2020,NA,100.02,101.549,NA,NA
,,6/26/2020,NA,100.005,101.566,NA,NA
,,6/29/2020,NA,100.004,101.513,NA,NA
,,6/30/2020,NA,100.011,101.505,NA,NA
,,7/1/2020,NA,100.006,101.478,NA,NA
,,7/2/2020,NA,100.003,101.488,NA,NA
,,7/3/2020,NA,100.003,101.494,NA,NA
,,7/6/2020,NA,100.003,101.524,NA,NA
,,7/7/2020,NA,NA,101.493,NA,NA
,,7/8/2020,NA,NA,101.512,NA,NA
,,7/9/2020,NA,NA,101.522,NA,NA
,,7/10/2020,NA,NA,101.518,NA,NA
,,7/13/2020,NA,NA,101.495,NA,NA
,,7/14/2020,NA,NA,101.527,NA,NA
,,7/15/2020,NA,NA,101.585,NA,NA
,,7/16/2020,NA,NA,101.569,NA,NA
,,7/17/2020,NA,NA,101.55,NA,NA
,,7/20/2020,NA,NA,101.641,NA,NA
,,7/21/2020,NA,NA,101.713,NA,NA
,,7/22/2020,NA,NA,101.761,NA,NA
,,7/23/2020,NA,NA,101.777,NA,NA
,,7/24/2020,NA,NA,101.804,NA,NA
,,7/27/2020,NA,NA,101.818,NA,NA
,,7/28/2020,NA,NA,101.817,NA,NA
,,7/29/2020,NA,NA,101.825,NA,NA
,,7/30/2020,NA,NA,101.874,NA,NA
,,7/31/2020,NA,NA,101.836,NA,NA
,,8/3/2020,NA,NA,101.893,NA,NA
,,8/4/2020,NA,NA,101.93,NA,NA
,,8/5/2020,NA,NA,102.07,NA,NA
,,8/6/2020,NA,NA,102.14,NA,NA
,,8/7/2020,NA,NA,102.196,NA,NA
,,8/10/2020,NA,NA,102.249,NA,NA
,,8/11/2020,NA,NA,102.336,NA,NA
,,8/12/2020,NA,NA,102.33,NA,NA
,,8/13/2020,NA,NA,102.432,NA,NA
,,8/14/2020,NA,NA,102.488,NA,NA
,,8/17/2020,NA,NA,102.45,NA,NA
,,8/18/2020,NA,NA,102.6,NA,NA
,,8/19/2020,NA,NA,102.56,NA,NA
,,8/20/2020,NA,NA,102.5,NA,NA
,,8/21/2020,NA,NA,102.69,NA,NA
,,8/24/2020,NA,NA,102.52,NA,NA
,,8/25/2020,NA,NA,102.53,NA,NA
,,8/26/2020,NA,NA,102.75,NA,NA
,,8/27/2020,NA,NA,102.84,NA,NA
,,8/28/2020,NA,NA,102.63,NA,NA
,,8/31/2020,NA,NA,102.68,NA,NA
,,9/1/2020,NA,NA,102.73,NA,NA
,,9/2/2020,NA,NA,102.74,NA,NA
,,9/3/2020,NA,NA,102.74,NA,NA
,,9/4/2020,NA,NA,102.74,NA,NA
,,9/7/2020,NA,NA,102.94,NA,NA
,,9/8/2020,NA,NA,102.92,NA,NA
,,9/9/2020,NA,NA,102.71,NA,NA
,,9/10/2020,NA,NA,102.68,NA,NA
,,9/11/2020,NA,NA,102.7,NA,NA
,,9/14/2020,NA,NA,102.7,NA,NA
,,9/15/2020,NA,NA,102.69,NA,NA
,,9/16/2020,NA,NA,102.71,NA,NA
,,9/17/2020,NA,NA,102.69,NA,NA
,,9/18/2020,NA,NA,102.68,NA,NA
,,9/21/2020,NA,NA,102.65,NA,NA
,,9/22/2020,NA,NA,102.63,NA,NA
,,9/23/2020,NA,NA,102.63,NA,NA
,,9/24/2020,NA,NA,102.59,NA,NA
,,9/25/2020,NA,NA,102.56,NA,NA
,,9/28/2020,NA,NA,102.763,NA,NA
,,9/29/2020,NA,NA,102.834,NA,NA
,,9/30/2020,NA,NA,102.825,NA,NA
,,10/1/2020,NA,NA,102.829,NA,NA
,,10/2/2020,NA,NA,102.853,NA,NA
,,10/5/2020,NA,NA,103.179,NA,NA
,,10/6/2020,NA,NA,103.174,NA,NA
,,10/7/2020,NA,NA,103.154,NA,NA
,,10/8/2020,NA,NA,103.31,NA,NA
,,10/9/2020,NA,NA,103.286,NA,NA
,,10/12/2020,NA,NA,103.243,NA,NA
,,10/13/2020,NA,NA,103.254,NA,NA
,,10/14/2020,NA,NA,103.264,NA,NA
,,10/15/2020,NA,NA,103.205,NA,NA
,,10/16/2020,NA,NA,103.24,NA,NA
,,10/19/2020,NA,NA,103.16,NA,NA
,,10/20/2020,NA,NA,103.233,NA,NA
,,10/21/2020,NA,NA,103.351,NA,NA
,,10/22/2020,NA,NA,103.392,NA,NA
,,10/23/2020,NA,NA,103.444,NA,NA
,,10/26/2020,NA,NA,103.392,NA,NA
,,10/27/2020,NA,NA,103.381,NA,NA
,,10/28/2020,NA,NA,103.353,NA,NA
,,10/29/2020,NA,NA,103.338,NA,NA
,,10/30/2020,NA,NA,103.3,NA,NA
,,11/2/2020,NA,NA,103.04,NA,NA
,,11/3/2020,NA,NA,103.25,NA,NA
,,11/4/2020,NA,NA,103.08,NA,NA
,,11/5/2020,NA,NA,103.12,NA,NA
,,11/6/2020,NA,NA,103.14,NA,NA
,,11/9/2020,NA,NA,103.18,NA,NA
,,11/10/2020,NA,NA,103.19,NA,NA
,,11/11/2020,NA,NA,103.19,NA,NA
,,11/12/2020,NA,NA,103.42,NA,NA
,,11/13/2020,NA,NA,103.428,NA,NA
,,11/16/2020,NA,NA,103.433,NA,NA
,,11/17/2020,NA,NA,103.383,NA,NA
,,11/18/2020,NA,NA,103.392,NA,NA
,,11/19/2020,NA,NA,103.405,NA,NA
,,11/20/2020,NA,NA,103.391,NA,NA
,,11/23/2020,NA,NA,103.416,NA,NA
,,11/24/2020,NA,NA,103.404,NA,NA
,,11/25/2020,NA,NA,103.404,NA,NA
,,11/26/2020,NA,NA,103.391,NA,NA
,,11/27/2020,NA,NA,103.368,NA,NA
,,11/30/2020,NA,NA,103.355,NA,NA
,,12/1/2020,NA,NA,103.338,NA,NA
