Bonds,,Date,DE000A14J587,XS0214238239,DE000A1MA9H4,DE000A1R08U3
,,8/7/2019,104.06,NA,NA,NA
,,8/8/2019,104.45,NA,NA,NA
,,8/9/2019,103.84,NA,NA,NA
,,8/12/2019,104.2,NA,NA,NA
,,8/13/2019,103.8,NA,NA,NA
,,8/14/2019,103.8,NA,NA,NA
,,8/15/2019,103.08,NA,NA,NA
,,8/16/2019,102.3,NA,NA,NA
,,8/19/2019,101.05,NA,NA,NA
,,8/20/2019,100.42,NA,NA,NA
,,8/21/2019,100.77,NA,NA,NA
,,8/22/2019,101.34,NA,NA,NA
,,8/23/2019,102.35,NA,NA,NA
,,8/26/2019,101.9,NA,NA,NA
,,8/27/2019,101.95,NA,NA,NA
,,8/28/2019,102.3,NA,NA,NA
,,8/29/2019,102.251,NA,NA,NA
,,8/30/2019,102.65,NA,NA,NA
,,9/2/2019,102.4,NA,NA,NA
,,9/3/2019,102.24,NA,NA,NA
,,9/4/2019,102.41,NA,NA,NA
,,9/5/2019,102.384,NA,NA,NA
,,9/6/2019,102.72,NA,NA,NA
,,9/9/2019,102.591,NA,NA,NA
,,9/10/2019,102.539,NA,NA,NA
,,9/11/2019,102.775,NA,NA,NA
,,9/12/2019,103.162,NA,NA,NA
,,9/13/2019,103.476,NA,NA,NA
,,9/16/2019,103.737,NA,NA,NA
,,9/17/2019,103.789,NA,NA,NA
,,9/18/2019,103.758,NA,NA,NA
,,9/19/2019,103.859,NA,NA,NA
,,9/20/2019,104.121,NA,NA,NA
,,9/23/2019,104.067,NA,NA,NA
,,9/24/2019,104.359,NA,NA,NA
,,9/25/2019,103.749,NA,NA,NA
,,9/26/2019,103.903,NA,NA,NA
,,9/27/2019,103.902,NA,NA,NA
,,9/30/2019,103.385,NA,NA,NA
,,10/1/2019,103.429,NA,NA,NA
,,10/2/2019,103.22,NA,NA,NA
,,10/3/2019,103.119,NA,NA,NA
,,10/4/2019,102.906,NA,NA,NA
,,10/7/2019,102.751,NA,NA,NA
,,10/8/2019,102.544,NA,NA,NA
,,10/9/2019,102.39,NA,NA,NA
,,10/10/2019,102.421,NA,NA,NA
,,10/11/2019,102.42,NA,NA,NA
,,10/14/2019,102.68,NA,NA,NA
,,10/15/2019,102.68,NA,NA,NA
,,10/16/2019,102.68,NA,NA,NA
,,10/17/2019,102.826,NA,NA,NA
,,10/18/2019,102.5,NA,NA,NA
,,10/21/2019,102.48,NA,NA,NA
,,10/22/2019,102.46,NA,NA,NA
,,10/23/2019,102.46,NA,NA,NA
,,10/24/2019,102.4,NA,NA,NA
,,10/25/2019,102.65,NA,NA,NA
,,10/28/2019,102.45,NA,NA,NA
,,10/29/2019,102.4,NA,NA,NA
,,10/30/2019,102.34,NA,NA,NA
,,10/31/2019,102.21,NA,NA,NA
,,11/1/2019,102.24,NA,NA,NA
,,11/4/2019,102.5,NA,NA,NA
,,11/5/2019,102.64,NA,NA,NA
,,11/6/2019,102.76,NA,NA,NA
,,11/7/2019,102.78,NA,NA,NA
,,11/8/2019,102.8,NA,NA,NA
,,11/11/2019,102.85,NA,NA,NA
,,11/12/2019,102.86,NA,NA,NA
,,11/13/2019,102.78,NA,NA,NA
,,11/14/2019,102.35,NA,NA,NA
,,11/15/2019,102.25,NA,NA,NA
